,activity_id,zone_type,zone_index,time
395,2573821042,heartrate,1,59
396,2573821042,heartrate,2,948
397,2573821042,heartrate,3,701
398,2573821042,heartrate,4,0
399,2573821042,heartrate,5,0
936,2573821042,pace,1,226
937,2573821042,pace,2,1322
938,2573821042,pace,3,161
939,2573821042,pace,4,0
940,2573821042,pace,5,0
941,2573821042,pace,6,0
400,2581650808,heartrate,1,213
401,2581650808,heartrate,2,203
402,2581650808,heartrate,3,2487
403,2581650808,heartrate,4,1693
404,2581650808,heartrate,5,0
947,2581650808,pace,1,703
948,2581650808,pace,2,2911
949,2581650808,pace,3,851
950,2581650808,pace,4,82
951,2581650808,pace,5,46
952,2581650808,pace,6,3
405,2609535030,heartrate,1,350
406,2609535030,heartrate,2,1588
407,2609535030,heartrate,3,927
408,2609535030,heartrate,4,0
409,2609535030,heartrate,5,0
958,2609535030,pace,1,306
959,2609535030,pace,2,2139
960,2609535030,pace,3,350
961,2609535030,pace,4,58
962,2609535030,pace,5,14
963,2609535030,pace,6,0
410,2616543404,heartrate,1,409
411,2616543404,heartrate,2,2089
412,2616543404,heartrate,3,1018
413,2616543404,heartrate,4,0
414,2616543404,heartrate,5,0
969,2616543404,pace,1,735
970,2616543404,pace,2,2360
971,2616543404,pace,3,398
972,2616543404,pace,4,25
973,2616543404,pace,5,0
974,2616543404,pace,6,0
415,2622347438,heartrate,1,605
416,2622347438,heartrate,2,1510
417,2622347438,heartrate,3,796
418,2622347438,heartrate,4,48
419,2622347438,heartrate,5,0
980,2622347438,pace,1,778
981,2622347438,pace,2,1812
982,2622347438,pace,3,289
