activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
2996991528,77.6,154.6,2.65,238.71,21,2,170,4.9,90
2996991528,83.7,164.9,4.44,800,26,3,171,6,180
2996991528,77.7,159.9,2.94,264.46,10,4,168,4.9,90
2996991528,83.2,156,4.4,800,26,5,162,5.8,182
2996991528,78.2,157.9,2.96,266.26,5,6,167,4.9,90
2996991528,84.7,167.2,4.57,800,35,7,174,5.8,175
2996991528,79,162.2,3.07,275.91,3,8,171,5,90
2996991528,84.7,168.1,4.47,800,27,9,178,6,179
2996991528,79.6,164.8,2.97,267.61,5,10,172,4.7,90
2996991528,85.1,172.4,4.49,800,30,11,176,5.4,178
2996991528,79.8,162.5,3.05,274.17,0,12,173,4.7,90
2996991528,85.3,169.8,4.6,800,33,13,175,5.3,174
2996991528,80,166.9,3.05,274.11,6,14,170,4.6,90
2996991528,87.2,174.5,4.91,800,20,15,180,6,163
2996991528,88,178,8.35,16.7,0,16,178,5.2,2
2991334300,80.3,132,3.48,1000,37,1,146,4.6,287
2991334300,81.3,149,3.57,1000,43,2,162,5.5,280
2991334300,81.4,155.9,3.62,1000,38,3,168,4.9,276
2991334300,80.9,144.2,3.76,1000,0,4,155,5.3,266
2991334300,82.3,149.7,3.88,1000,20,5,160,5.8,258
2991334300,82.8,158.2,4.06,56.9,3,6,160,4.5,14
2988437720,79.9,135.8,3.37,1000,39,1,149,4.3,297
2988437720,80.4,146.8,3.48,1000,61,2,156,5,287
2988437720,79.9,150.4,3.42,1000,47,3,167,4.8,314
2988437720,79.9,146.5,3.41,1000,87,4,163,4.5,293
2988437720,80.1,140.8,3.51,1000,62,5,151,4.7,285
2988437720,81,145.1,3.46,1000,39,6,153,4.3,289
2988437720,80.7,139.8,3.52,1000,6,7,149,4.4,284
2988437720,82.2,144.5,3.68,1000,23,8,153,4.8,272
2988437720,82,151,4.4,48.35,0,9,151,4.8,11
2983999775,80.7,141.9,3.72,1000,8,1,157,4.4,311
2983999775,82.3,160.1,3.53,1000,40,2,167,5.7,283
2983999775,81.3,162.5,3.76,1000,28,3,168,4.7,266
2983999775,82.6,163.5,3.68,1000,47,4,168,4.9,272
2983999775,82.4,165.7,3.8,1000,42,5,171,4.7,263
2983999775,81.4,152.6,3.91,1000,0,6,164,4.3,256
2983999775,82.3,154.7,3.75,1000,39,7,166,4.8,267
2983999775,81.7,157.4,3.79,1000,10,8,163,4.7,264
2983999775,81.7,159.9,3.66,1000,29,9,165,4.7,273
2983999775,82,160.5,3.56,1000,58,10,168,5,281
2983999775,82.2,160.5,3.82,1000,31,11,168,4.6,262
2983999775,81.7,163.8,3.73,1000,45,12,172,4.3,268
2983999775,80.9,153.1,3.65,1000,10,13,161,4.4,274
2983999775,81.4,149.8,3.72,1000,32,14,163,4.7,269
2983999775,82.5,156.3,3.75,1000,19,15,167,4.6,267
2972222569,88.1,164.4,4.76,1000,25,1,168,5.7,210
2972222569,85.5,165.1,4.65,1000,19,2,170,5.2,215
2972222569,85.2,167.6,4.69,1000,17,3,172,5.5,213
2972222569,85.4,172.5,4.67,1000,7,4,178,5.3,214
2972222569,85.6,173.9,4.55,1000,28,5,179,5.2,220
2961763437,86.4,152.1,4.55,1000,35,1,166,7,220
2961763437,85.8,158.2,4.69,1000,23,2,161,6.2,213
2961763437,85.3,159.2,4.65,1000,18,3,163,6.4,215
2961763437,85.1,159.9,4.61,1000,26,4,165,6,217
2961763437,84.6,170.9,4.37,986.76,10,5,183,5.7,226
2956884370,79.1,132.1,3.58,1000,27,1,145,4.8,279
2956884370,80.5,142.9,3.66,1000,37,2,152,5.2,273
2956884370,80.8,148.2,3.58,1000,38,3,160,4.8,279
2956884370,80.1,147.7,3.65,1000,30,4,161,5,274
2956884370,79.8,142.3,3.76,1000,19,5,159,5,266
2956884370,80.8,148.3,3.53,1000,31,6,162,4.8,283
2956884370,79.8,136.5,3.7,1000,5,7,152,4.9,270
2956884370,79,144,4.59,9.18,0,8,144,3.5,2
2954988988,86.6,160.5,4.46,1000,25,1,173,6.3,224
2954988988,85.7,176,4.65,1000,21,2,184,5.9,215
2954988988,85.5,185.3,4.76,1000,12,3,192,6.2,210
2954988988,85.2,188.4,4.69,1000,16,4,193,6.2,213
2954988988,84.9,191.1,4.43,992.17,25,5,195,5.6,224
2949150873,79.5,126.3,3.53,1000,11,1,143,4.1,283
2949150873,82.2,153,3.64,1000,43,2,167,5.8,275
2949150873,82.5,156.1,3.62,1000,50,3,162,4.5,276
2949150873,81.5,162.9,3.6,1000,37,4,168,4.1,278
2949150873,82,164.2,3.66,1000,41,5,169,4.3,273
2949150873,80.6,150.6,3.6,1000,29,6,174,4.3,278
2949150873,80.9,144.1,3.57,1000,20,7,166,4.7,280
2949150873,80.5,151.4,3.65,1000,37,8,165,4.5,274
2949150873,81,160.9,3.47,1000,59,9,169,4.4,288
2949150873,80.6,158.4,3.44,1000,41,10,164,4.5,291
2949150873,81.1,161.3,3.56,1000,67,11,166,5.4,281
2949150873,80.4,160.3,3.42,1000,29,12,174,4.3,292
2949150873,81,147.3,3.58,1000,7,13,163,4.1,279
2949150873,81.2,147.7,3.52,1000,46,14,162,4.5,284
2949150873,81.1,159.6,3.61,1000,27,15,171,4.2,277
2949150873,81.1,158.2,3.36,1000,41,16,164,4.7,298
2949150873,80.5,144.1,3.6,1000,17,17,159,4.9,278
2949150873,83,150,9.61,9.61,0,18,151,3.8,1
2946215645,86.5,159.4,4.48,1000,35,1,179,6.2,223
2946215645,85.2,163.4,4.63,1000,18,2,169,5.7,216
2946215645,85.1,173.6,4.63,1000,16,3,190,6.5,216
2946215645,85.4,188.6,4.57,1000,25,4,195,5.9,219
2946215645,85.1,192.1,4.38,964.39,21,5,196,6,220
2931498218,86.2,139.6,4.48,1000,19,1,154,6.5,223
2931498218,85.4,163.9,4.63,1000,29,2,186,5.9,216
2931498218,84.9,184.1,4.61,1000,10,3,190,5.7,217
2931498218,84.9,172.5,4.57,1000,18,4,185,5.8,219
2931498218,85.3,170.4,4.45,992,25,5,174,5.6,223
2928920339,78,132,3.37,1000,38,1,149,3.8,297
2928920339,79.4,147.3,3.44,1000,42,2,155,4.3,291
2928920339,80,151.2,3.41,1000,37,3,167,3.9,293
2928920339,79.4,139.7,3.48,1000,6,4,161,4.3,287
2928920339,80.9,146.3,3.69,1000,21,5,159,4.8,271
2928920339,81.1,154.7,3.72,170.91,4,6,159,4.9,46
2924872773,78,129.6,3.27,1000,16,1,146,4.6,306
